BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Class,Rad_opt_sp_index,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,universe_age_Gyr,comoving_distance_Mpc,lookback_distance_Mpc,luminosity_distance_Mpc,distance_modulus_mag,RA_sin,RA_cos,Dec_sin,ext_fuv,ext_nuv,log_nuF_fuv,log_nuF_nuv,log_nuF_g,log_nuF_r,log_nuF_i,log_nuF_z,log_nuF_y,log_nuF_Su,log_nuF_Sg,log_nuF_Sr,log_nuF_Si,log_nuF_Sz,log_nuF_J,log_nuF_H,log_nuF_K,log_nuF_w1,log_nuF_w2,log_nuF_w3,log_nuF_w4,tangent_wise,tangent_pstarrs,log_nu_radmax,i_abs,w1_abs,log_X_luminosity_W,log_nuF_X,log_gamma_luminosity_ph,log_nuF_gamma,log_radio_luminosity,log_nuF_1.4,log_nuF_143,log_nuF_4.8,nuv-g,g-r,r-i,i-z,z-y,y-w1,w1-w2,w2-w3,w3-w4,fuv-nuv,nuv-Su,Su-Sg,Sg-Sr,Sr-Si,Si-Sz,y-J,J-H,H-K,K-w1,g_var,r_var,i_var,z_var,y_var,Radio_radio_hard,IR_opt_hard,IR_UV_hard,IR_X_hard,radio_var,opt_var,shortwl_flux,radio_flux,cluster_kmeans,Anomaly
5BZQJ0631+5311,06 31 34.72,+53 11 27.6,2.204,BZQ,0.799,-0.686,-0.397,-0.275,-0.511,-0.809,0.288,-0.108,-0.161,,0.485,0.345,0.165,0.369,0.264,2.95,5574.127236052991,3304.575221588866,17817.95073484075,46.25428876906327,0.990522252866362,-0.1373523446343271,0.800637266663672,0.7945203516930665,0.8506045987348376,,,-12.37653834670098,-12.435918497836951,-12.432851241534026,-12.38891105858473,-12.431807752765351,,,,,,,,,-12.830644323579437,-12.87241128609126,-12.611464104866831,,-0.4625694390591813,0.0980920906567827,12.986220503909625,-27.270587887105258,-30.572288608845973,,,,,64.16489466527706,-12.97477608482169,,-12.789280284318998,,0.1218998413085898,0.2224998321533213,0.2631005859375008,0.0069012145996083,3.031698921203608,0.8789997100830114,3.4880008697509783,,,,,,,,,,,,0.102701187133789,0.3488006591796804,0.1863994598388672,0.1919002532958984,0.4930000305175781,-0.1854958005026912,-0.4395600445572327,,,-0.377671004957174,0.24274405920235073,-0.6896704025545823,0.8077391584696785,3,
5BZQJ0632-5404,06 32 01.15,-54 04 57.5,0.193,BZQ,0.473,,,-2.165,,,,0.655,-0.229,,,0.548,,,,11.296,814.4367094695654,745.7664864539468,971.5747009897872,39.93738098803691,0.9902564261820636,-0.1392559169483547,-0.8098639274238787,0.6810525050797664,0.7326292349527319,,,,,,,,,,,,,-11.522357882676022,-11.57431032325926,-11.468236418440764,-11.448244192353847,-11.460411011433056,-11.67826441309437,-11.599379555042535,0.2430737665185761,,14.39008727853942,,-27.711381155883583,86.0830476103887,-11.667561540084394,,,57.851325539530215,-13.620875853929608,,-13.341035157335565,,,,,,,0.9530000686645508,2.290999412536621,2.3460001945495605,,,,,,,,0.6729999542236307,1.014999732971198,1.3610003433227504,,,,,,-0.279840696594043,,,0.2071505286513382,0.6863638671549726,,1.685521238206792,-0.40310580059721285,2,
5BZQJ0632-2614,06 32 06.52,-26 14 12.8,0.717,BZQ,0.734,,0.384,-0.754,0.282,1.588,-0.819,0.052,-0.201,,0.443,0.251,0.327,,0.165,7.155,2624.272614843432,2015.293677927164,4503.551139614122,43.267775493471625,0.9902019688130604,-0.139642618704817,-0.4420834454060195,0.475136720915765,0.5111451202082993,,,-12.60189815505059,-12.862918009555704,-12.8684509973934,-12.78035087181715,-12.658008485187226,,,,,,,,,-12.471044256440765,-12.640410935139112,-12.858664117073864,,0.6816980165465276,0.1998986815515038,12.802287369797432,-23.195075221865174,-28.48477550110101,,,,,61.46212658072007,-13.218388217506847,,-12.71478035679794,,-0.3821994171142577,0.2009992218017551,0.3735004425048878,0.4199989166259783,4.49620092010497,0.560000419616701,2.289999961853029,,,,,,,,,,,,1.209699630737305,0.7631988525390696,1.0843009948730469,0.3050003051757883,0.6121997833251918,-0.5036078607089092,0.2280400622542888,,,-0.14737831256361955,-1.482777686358052,-1.0486143153005025,0.6944957486464377,1,
5BZQJ0632+3200,06 32 30.77,+32 00 53.6,1.831,BZQ,0.519,,0.588,0.756,0.12,-0.682,,,,,,0.142,0.143,,,3.537,5033.025122118536,3124.705629260517,14221.463145929329,45.76472140092599,0.989954168071832,-0.1413886314991666,0.5301396202298403,2.648424640139216,2.843585773848567,,,-12.097218205099418,-12.20499834402836,-12.145851168291838,-12.180150920645277,-12.18272844368332,,,,,,,,,-12.545444204560878,-12.574811112141065,-12.453864083504527,,-0.1999552586029565,0.2117502225305744,12.693909844038778,-27.498520702073453,-30.79572153825509,,,,,62.238888783676494,-14.191114132640188,,-13.171018045992078,,0.0008998718261707,0.3626996307373034,0.0675007476806648,0.107699142456056,3.1220009460449187,0.9099998474121094,3.13800048828125,,,,,,,,,,,,0.2094993591308629,0.3055000305175817,0.1217002868652414,0.259099960327152,0.2227993011474609,-1.0200960866481097,-0.4289599438492271,,,-1.028454729031584,0.4366694304292692,-0.17581862740679802,-0.6734911354092841,3,
5BZQJ0633-2223,06 33 26.76,-22 23 22.7,1.508,BZQ,0.652,,0.567,-1.004,-1.299,-1.671,1.213,0.17,-0.198,,,0.446,0.436,,0.422,4.216,4478.761503094695,2916.4805104165875,11215.857156454504,45.249162347728365,0.9893702703663416,-0.145418252345543,-0.3809031793733181,0.7137626714414399,0.766178016431309,,,,,,,,,,,,,,,,,,,,,,12.171563529916558,,,,,,,64.80400298977926,-13.299988937677888,,-12.47635106535531,,,,,,,,,,,,,,,,,,,,,,,,,-0.8236378723225783,,,,0.7490546746367245,,,0.9159510332035983,3,
5BZBJ0635-2620,06 35 20.9,-26 20 39.91,,BLLac,0.708,,0.38,-1.205,0.43,2.492,-0.987,0.271,-0.191,,0.322,0.483,0.475,,,,,,,,0.9881291580168248,-0.15362541155994,-0.4437660726557535,0.5384419231204061,0.5793220295581155,,,-12.720498350363089,-12.670678593051798,-12.70693113045004,-12.666630583731214,-12.439008332599338,,,,,,-12.065557827744383,-11.94231042396727,-11.859436467268893,-12.417844106904626,-12.521211182331491,-12.591464410042612,-12.292179504688532,-0.1233413025412774,-0.6587188563503562,,,,,,,,,,-11.4484646154392,-12.891942626216146,,0.3948996124267516,0.1242003479003948,0.2540014953613294,0.6831985778808587,4.08170091247559,0.7249994277954102,2.6599998474121094,2.897000312805172,,,,,,,2.098700805664059,1.1109995651245104,0.9569998626708998,-0.0849993209838793,0.0497989654541015,1.0146999359130824,0.4090995788574219,0.6753997802734375,0.7021999359130859,,0.1857199481185496,,,0.9757051229010206,-0.7056737501422009,-0.8104670835218931,0.07849733265338102,1,
5BZQJ0635-7516,06 35 46.5,-75 16 16.78,0.653,BZQ,0.687,-0.068,0.022,-0.154,-0.136,-0.113,-0.172,-0.151,-0.152,-0.012,0.173,0.118,0.389,0.078,0.176,7.526,2432.697739690788,1901.57161526446,4019.466322463984,43.020841971150006,0.9878414437663108,-0.1554647290471086,-0.9671406449286,0.6744679327054149,0.7234350159960522,-10.697927043178742,-10.578064677114732,,,,,,,,,,,-11.323557824692625,-11.508710338518048,-11.474636336043304,-11.23624429916537,-11.193611084675243,-11.156664262032358,-11.071779457386285,-0.1813665301593552,,13.736438069219528,,-31.32484187196788,89.20135633824025,-11.546681659952965,111.71403146706976,-9.865869768145895,64.10452210450696,-12.130991353634824,-10.387084815539176,-11.58081692579336,,,,,,,1.0900001525878906,2.927999973297121,2.361000061035156,0.7432190832906365,,,,,,,0.3399997711181601,0.8349999771118206,1.9069998703002893,,,,,,-0.5501744278414638,,-0.6155464075605117,0.3530705752777194,-0.33782056039198705,,2.6107430432568264,2.981884507326531,2,
5BZQJ0636-2113,06 36 00.59,-21 13 12.21,1.883,BZQ,0.653,,0.245,-0.075,-0.349,-0.694,-0.134,-0.337,-0.255,,0.339,0.464,0.261,0.308,0.351,3.444,5114.2378846608535,3153.133381779308,14715.466709179887,45.83887020272087,0.9876816277071664,-0.1564768426628126,-0.3619509395228126,1.0375793579468888,1.1158973978704672,,,-12.30637834303887,-12.443598319614296,-12.468171090166836,-12.453790801016371,-12.478888349689182,,,,,,,,,-12.819844152680997,-12.803211151813915,-12.62586420557484,-12.515779510792049,-0.3884992247483373,0.5113342580698047,12.9930384228353,-26.76686969918083,-30.18387046974968,,,,,63.35301458879763,-13.550675906901272,,-12.923632668894095,,-0.0726997222900394,0.1533997650146474,0.1892008514404288,0.0513990783691404,3.17640084075928,1.02499961853027,3.2790002822875994,2.423999786376953,,,,,,,,,,,0.2433013916015589,0.4435005187988246,0.0567989349365234,0.2698993682861363,0.3170013427734375,-0.6270432380071771,-0.3350400616470779,,,0.2604110079578918,0.3962053501661741,-0.7235181998409038,0.16278689565605106,3,
5BZBJ0639-3346,06 39 20.89,-33 46 00.08,,BLLac_c,0.868,,0.625,-0.393,-0.353,-0.303,-0.889,-0.677,-0.588,,0.322,0.082,0.265,0.147,0.253,,,,,,0.9852976522816712,-0.1708465288152707,-0.5558123966407619,0.6657523215756149,0.715314170131417,,,,,,,,,,,,,,,,-13.389043905488611,-13.707611405109812,,,2.314491846394645,,,,,,,,,,-13.43226803745193,,-12.491436616094632,,,,,,,0.1869983673095703,,,,,,,,,,,,,,,,,,-0.9408314213572986,,,,-0.8240436423616652,,-2.292143949139295,0.7869777778968351,1,
5BZQJ0639+7324,06 39 21.95,+73 24 57.99,1.85,BZQ,0.715,,0.022,-0.26,0.259,0.914,-0.376,0.091,-0.019,,0.261,0.629,0.348,0.47,0.645,3.502,5062.93517076362,3135.2355758710914,14401.66499522537,45.79206352173944,0.9852844795854966,-0.1709224803469023,0.9584028560046678,0.7297671501403443,0.7831330181421718,,-11.897624956256283,-11.821298307638482,-11.906078007114296,-11.90601105598715,-11.974510924307388,-11.980447883380588,,,,,,-12.065558230576414,-12.14711010963621,-12.215036210921236,-12.336644079438807,-12.239610993122508,-12.091464410042612,-11.940979400928766,-0.4604063249378703,0.5177272866271136,14.047726714977172,-28.125463103648624,-31.34506397187372,90.01679447821562,-12.30102999566398,113.22496696495004,-10.318167439140527,63.99892569206592,-12.898184214008255,-10.891387625867631,-12.351103551996069,0.984801824094152,0.0584009704589867,0.2149990692138672,-0.0179995422363283,0.0993005523681631,3.138299858093264,1.2259998321533203,3.20599937438965,2.5250005722045863,,,,,,,0.952298675537108,0.5990013580322291,0.5799997177123988,1.0070001068115282,0.0894985198974502,0.09570121765136,0.2038002014160156,0.1414985656738281,0.2916011810302734,-0.5470806620121884,-0.3335999371353573,-0.3419860368662242,0.0614190025414735,1.002780837075116,0.9350897570180409,0.363267019274372,1.404220538906481,3,
5BZQJ0642+6758,06 42 04.26,+67 58 35.61,3.18,BZQ,0.424,0.554,0.387,-0.404,-0.269,-0.099,-1.035,-0.696,-0.605,0.242,0.043,0.519,0.2,0.381,0.136,1.99,6645.767753180957,3599.026276514828,27687.462750417788,47.21141579642735,0.9831984045553104,-0.182540125122922,0.9270305125765744,0.4045370450156665,0.4341319499971903,,,-11.292737925558402,-11.304118198764687,-11.330011196368009,-11.358990880362072,-11.335408057941134,,,,,,-11.376358023056882,-11.495510262224103,-11.525036464217132,-11.75144434188998,-11.89921106026118,-11.911864266609996,-11.985779587085991,0.2279475941425778,0.193407562272258,13.82562118308173,-30.98481502738438,-34.227415590433694,90.35648220771532,-12.721246399047171,,,64.82223931831435,-13.570570735618212,,-12.679853713888946,,0.2418995361328129,0.1500991973876964,0.0808009185791007,0.1731000061035157,2.9886996383667004,0.6140003204345703,2.8039999008178675,1.9639997482299831,,,,,,,1.062699630737301,0.5050004577636695,0.6759994659423896,0.7450000839233404,0.0373001098632812,0.0279998779296875,0.0363998413085937,0.0417995452880859,0.0426998138427734,-0.8907170217292659,-0.5691998638931715,,0.8220353387859909,0.22998589323439075,3.258643137115279,1.2255778460866809,0.442355537044937,2,
5BZQJ0642-6150,06 42 46.99,-61 50 08.69,1.223,BZQ,0.693,,,0.076,,,,0.23,0.182,,,0.076,0.173,,,5.009,3905.083867099888,2673.287968459948,8671.084819732012,44.690367172358656,0.9826264309709678,-0.1855944426895852,-0.8815981081186366,0.6657523215756149,0.715314170131417,,,,,,,,,,,,,,,,-12.663844396821618,-12.519610916828563,-12.486664376473277,-12.38617936735943,-0.2823736312571444,,13.272918468992652,,-29.425366829035905,,,,,61.512134590918215,-13.461175011062096,,-13.189767482004916,,,,,,,1.3440008163452095,2.9179992675781303,2.4000005722045863,,,,,,,,,,,,,,,,-0.2714075290571802,,,,-1.1253278190894187,,-0.6074624501166438,-0.08572463939295538,3,
5BZGJ0643+4214,06 43 26.76,+42 14 18.81,0.089,BZG,0.151,,,-2.008,-0.008,2.515,,,,,,0.735,,0.11,,12.523,385.5496661854221,369.4614650843541,419.8589096707125,38.11551686811142,0.982085554016405,-0.1884355714622131,0.6722189763515309,0.9276776297784338,0.9961384811040946,-12.564105324349534,,-11.86257797072442,-11.784197880161171,-11.722451009600432,-11.74723130394606,-11.626368501056367,,,,,,-11.573557833847898,-11.625910344621564,-11.707036339095064,-11.83384409164584,-12.11721109077876,-12.756664452767222,,1.6901305833233444,-0.663917512371971,13.15280561544185,-20.9078165659874,-24.92551728772812,86.0004349037667,-10.97469413473523,,,55.79614865001103,-13.862645888629268,,-13.378823718224965,,0.4663004455566408,0.3691988677978521,0.091299392700197,0.4162999572753882,3.5101013717651384,0.2749996185302716,1.23699951171875,,,,,,,,1.297101211547849,0.6719997787475602,0.546999984741209,0.99400039672852,0.118499755859375,0.2751007080078125,0.406900405883789,0.4430007934570312,0.7006988525390625,-0.4838221704043022,-0.3947600811783278,,-1.142516956043529,1.223281473168679,-0.40559347206904595,0.6932665176434192,-0.6512472112456732,0,
