BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Rmag,Class,Flux_density1.4,Flux_density143,X-ray_flux,Fermi_flux,Rad_opt_sp_index,Flux_density4.8,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,u,g,r,i,z,extinction_r,PSTARRS_offset,gMeanPSFMag,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,rMeanPSFMag,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,iMeanPSFMag,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,zMeanPSFMag,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,yMeanPSFMag,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,GALEX_offset,fuv_mag,nuv_mag,e_bv,w1,w2,w3,w4,J,H,K,WISE_offset,ext_U,ext_B,ext_V,ext_R,ext_I,ext_J,ext_H,ext_K,ext_SDSS_u,ext_SDSS_g,ext_SDSS_r,ext_SDSS_i,ext_SDSS_z,ext_PS1_g,ext_PS1_r,ext_PS1_i,ext_PS1_z,ext_PS1_y
5BZQJ0925+0019,09 25 07.81,+00 19 13.9,1.72,17.2,7211,736.0,,,,0.658,785.0,0.088,-0.045,-0.787,-0.464,-0.057,-0.782,-0.52,-0.603,0.237,0.177,0.144,0.494,0.028,0.006,17.611,17.408,17.205,16.92,16.814,0.09,0.108304364353214,17.60260009765625,13.0,17.543800354003906,17.646799087524414,17.35420036315918,12.0,17.295900344848633,17.38010025024414,17.04439926147461,22.0,16.886699676513672,17.162399291992188,17.00349998474121,15.0,16.952899932861328,17.045799255371094,16.993499755859375,14.0,16.96109962463379,17.0447998046875,0.4458976612257108,19.5364933,18.8496017,0.036743775,13.97500038146973,12.96100044250488,10.27299976348877,8.281999588012695,15.95400047302246,15.55099964141846,15.08800029754639,0.1236640869860299,0.162,0.136,0.103,0.081,0.056,0.027,0.017,0.011,0.159,0.124,0.086,0.064,0.047,0.119,0.085,0.063,0.049,0.041
5BZBJ0925+5958,09 25 42.89,+59 58 16.71,,19.1,7300,9.0,,0.58,,0.429,,,,,,,,,,,,,,,,19.621,19.346,19.09,18.92,18.772,0.07,0.4340847799454771,19.123699188232425,10.0,19.0004997253418,19.25659942626953,19.02059936523437,7.0,18.928199768066406,19.157400131225582,18.845399856567383,26.0,18.745500564575195,18.932899475097656,18.646699905395508,7.0,18.65169906616211,18.952299118041992,18.337400436401367,11.0,18.18910026550293,18.84510040283203,0.1069034854226593,,20.7352085,0.0280547943,15.1560001373291,14.38700008392334,12.68099975585938,,,,,0.4559144130333269,0.124,0.104,0.078,0.062,0.043,0.02,0.013,0.009,0.121,0.094,0.065,0.049,0.036,0.091,0.065,0.048,0.038,0.031
5BZBJ0925+3127,09 25 43.65,+31 27 10.69,,18.5,7300,383.0,,,,0.685,305.0,-0.332,0.178,-0.138,-0.171,-0.214,0.033,-0.056,-0.082,,0.108,0.32,0.354,0.311,0.4,19.558,19.047,18.606,18.294,17.966,0.05,0.111717776827004,20.104700088500977,10.0,19.857500076293945,20.32990074157715,19.541900634765625,10.0,19.434999465942383,19.91670036315918,18.81049919128418,13.0,18.69849967956543,19.275400161743164,18.778400421142575,12.0,18.6072998046875,19.35849952697754,18.73189926147461,13.0,18.55349922180176,18.9685001373291,1.330046478369881,20.8485661,20.5110531,0.02429439,14.10400009155273,13.0959997177124,10.26599979400635,8.034000396728516,16.51700019836426,15.83199977874756,14.76500034332275,0.1656373774177244,0.103,0.086,0.065,0.051,0.036,0.017,0.011,0.007,0.101,0.078,0.054,0.04,0.03,0.075,0.054,0.04,0.031,0.026
5BZQJ0925+1658,09 25 49.96,+16 58 12.21,1.545,17.0,7211,90.0,,1.42,,0.473,159.0,,1.046,0.204,,,,,,,,0.313,0.233,,,17.514,17.204,16.99,16.754,16.681,0.07,0.1650128763819068,17.37540054321289,8.0,17.343000411987305,17.415300369262695,17.07710075378418,12.0,17.062000274658203,17.114500045776367,16.832300186157227,12.0,16.810300827026367,16.87420082092285,16.78969955444336,9.0,16.769800186157227,22.612699508666992,16.67970085144043,12.0,16.6471004486084,16.723600387573242,0.6032921442173684,20.9508076,18.34911,0.0306064021,13.11800003051758,11.73299980163574,8.899999618530273,7.041999816894531,15.53800010681152,14.68900012969971,14.46300029754639,0.08772993098216843,0.133,0.111,0.084,0.066,0.046,0.022,0.014,0.009,0.13,0.101,0.07,0.052,0.039,0.097,0.07,0.052,0.041,0.033
5BZQJ0926+4029,09 26 00.42,+40 29 49.7,1.879,20.1,7211,285.0,,,,0.795,277.0,,0.129,-0.19,-0.074,0.073,-0.734,-0.442,-0.363,,0.264,0.097,0.066,0.309,,20.084,20.099,20.086,19.605,19.531,0.03,0.083807041092554,20.202999114990234,9.0,20.007400512695312,20.29490089416504,20.08209991455078,14.0,19.995399475097656,20.22900009155273,19.534099578857425,22.0,19.277999877929688,19.70789909362793,19.675500869750977,9.0,19.595199584960938,19.910999298095703,19.50079917907715,9.0,19.02050018310547,19.743900299072266,2.303868355950838,,22.5901184,0.0134217739,15.95800018310547,14.67199993133545,11.73900032043457,,,,,0.08505851157611569,0.058,0.049,0.037,0.029,0.02,0.01,0.006,0.004,0.057,0.045,0.031,0.023,0.017,0.043,0.031,0.023,0.018,0.015
5BZBJ0926+5411,09 26 38.87,+54 11 26.59,0.841,19.4,7300,38.0,,,,0.533,43.0,,,-0.262,,,,,,,,0.108,,,,20.273,19.813,19.434,19.08,18.785,0.04,0.088768704480165,19.373199462890625,8.0,19.00359916687012,19.6481990814209,18.918399810791016,8.0,18.89119911193848,19.37660026550293,18.898399353027344,17.0,18.476999282836918,19.15970039367676,18.38570022583008,14.0,18.105100631713867,18.95120048522949,18.16670036315918,15.0,17.989599227905273,18.676000595092773,0.2279879748818839,21.4961853,19.98065,0.017950438,14.10299968719482,13.31400012969971,11.07900047302246,8.380999565124512,17.22800064086914,16.49699974060059,15.43299961090088,0.1417623532846868,0.076,0.064,0.048,0.038,0.026,0.012,0.008,0.005,0.074,0.058,0.04,0.03,0.022,0.056,0.04,0.03,0.023,0.019
5BZBJ0926+0803,09 26 42.18,+08 03 00.28,,19.8,7300,31.0,,,,0.637,,,,-0.575,,,,,,,,,,,,20.896,20.39,19.828,19.399,19.06,0.11,0.0779577497236205,19.533300399780277,10.0,19.35110092163086,20.56319999694824,19.20829963684082,16.0,18.807600021362305,20.069900512695312,18.679500579833984,8.0,18.48189926147461,18.820199966430664,18.831600189208984,7.0,18.71139907836914,19.00119972229004,18.84510040283203,5.0,18.717100143432617,18.955299377441406,0.4885395193338807,,21.7300739,0.050073266,14.62100028991699,13.77499961853027,11.74899959564209,,,,,0.08177042004905143,0.218,0.182,0.138,0.109,0.076,0.036,0.023,0.015,0.213,0.166,0.115,0.085,0.063,0.159,0.114,0.085,0.066,0.055
5BZQJ0927+3902,09 27 03.0,+39 02 20.9,0.695,16.6,7211,2885.0,3597.0,2.13,,0.769,8484.0,1.002,0.72,0.336,-0.01,-0.447,0.198,-0.035,0.081,0.08,0.464,0.819,0.868,0.821,0.722,17.075,16.666,16.6,16.745,16.658,0.03,0.1644701880290685,17.09119987487793,15.0,17.066499710083008,17.120899200439453,17.056299209594727,14.0,17.039899826049805,17.15290069580078,17.18720054626465,18.0,17.069700241088867,17.239700317382812,17.01059913635254,13.0,16.983200073242188,17.08639907836914,17.17020034790039,20.0,17.091800689697266,17.262800216674805,0.9681956372905434,19.1341076,17.53579,0.0144807557,12.52999973297119,11.28400039672852,8.529000282287598,6.256999969482422,15.34200000762939,14.85200023651123,14.0019998550415,0.3445429481961296,0.064,0.053,0.04,0.032,0.022,0.01,0.007,0.004,0.062,0.049,0.034,0.025,0.019,0.047,0.033,0.025,0.019,0.016
5BZGJ0927+5327,09 27 10.6,+53 27 31.6,0.201,17.0,7309,5.0,,1.08,,0.153,,,,,,,,,,,,,,,,20.235,21.367,17.056,16.611,16.251,0.04,0.1220834439246802,19.82010078430176,6.0,19.78820037841797,20.05030059814453,18.834699630737305,7.0,18.70800018310547,19.241600036621094,18.53030014038086,17.0,18.22330093383789,18.965900421142575,18.669099807739254,12.0,18.297100067138672,18.98419952392578,18.38170051574707,12.0,17.981700897216797,18.59569931030273,2.831277888359826,22.12407,,0.0155342882,14.31700038909912,14.14099979400635,,,16.20999908447266,15.64099979400635,15.28299999237061,0.1910917936818524,0.067,0.056,0.042,0.034,0.023,0.011,0.007,0.005,0.066,0.051,0.035,0.026,0.02,0.049,0.035,0.026,0.02,0.017
5BZGJ0927+5545,09 27 40.63,+55 45 47.98,0.221,17.4,7309,78.0,,0.18,,0.386,32.0,,,,,,,,,,,0.093,,,,19.971,18.587,17.425,16.922,16.604,0.05,0.2367199723797333,19.19930076599121,6.0,19.114500045776367,19.290599822998047,18.24139976501465,8.0,18.149799346923828,18.486400604248047,17.850099563598633,23.0,17.656400680541992,18.009899139404297,17.792299270629883,9.0,17.72960090637207,17.844100952148438,17.443199157714844,10.0,17.307100296020508,17.60569953918457,0.8144515836569777,21.6244621,20.8674011,0.0223468486,13.71599960327148,13.28499984741211,11.49100017547607,,15.97999954223633,15.11100006103516,14.54300022125244,0.2136085765092108,0.096,0.08,0.061,0.048,0.033,0.016,0.01,0.007,0.094,0.073,0.051,0.038,0.028,0.07,0.05,0.037,0.029,0.024
